thr,f1,mae_onset,mae_recov,skill_onset,skill_recov,composite,recall
0.35000000000000003,0.6530134581626682,14.546666666666667,15.668571428571429,0.0,0.0,0.2176711527208894,0.5314285714285715
0.36,0.6536180308422301,14.722857142857142,15.845714285714285,0.0,0.0,0.21787267694741005,0.5247619047619048
0.37,0.6570397111913358,14.84952380952381,15.98,0.0,0.0,0.2190132370637786,0.52
0.38,0.6524390243902439,15.120952380952382,16.267619047619046,0.0,0.0,0.21747967479674798,0.5095238095238095
0.39,0.6503067484662577,15.243809523809524,16.392380952380954,0.0,0.0,0.21676891615541924,0.5047619047619047
0.4,0.6510769230769231,15.271428571428572,16.42,0.0,0.0,0.21702564102564104,0.5038095238095238
0.41000000000000003,0.6506172839506172,15.31904761904762,16.473333333333333,0.0,0.0,0.2168724279835391,0.5019047619047619
0.42,0.6468032278088144,15.462857142857143,16.62095238095238,0.0,0.0,0.21560107593627145,0.4961904761904762
0.43,0.6459240821406347,15.51142857142857,16.676190476190477,0.0,0.0,0.21530802738021157,0.4942857142857143
0.44,0.6437928883343731,15.58095238095238,16.750476190476192,0.0,0.0,0.21459762944479102,0.49142857142857144
0.45,0.6454033771106942,15.58095238095238,16.750476190476192,0.0,0.0,0.21513445903689807,0.49142857142857144
0.46,0.644430459408433,15.68095238095238,16.856190476190477,0.0,0.0,0.21481015313614435,0.4876190476190476
0.47000000000000003,0.6435768261964736,15.708571428571428,16.883809523809525,0.0,0.0,0.21452560873215787,0.4866666666666667
0.48,0.6443461781427668,15.734285714285715,16.908571428571427,0.0,0.0,0.2147820593809223,0.4857142857142857
0.49,0.6443461781427668,15.734285714285715,16.908571428571427,0.0,0.0,0.2147820593809223,0.4857142857142857
0.5,0.6455696202531646,15.734285714285715,16.908571428571427,0.0,0.0,0.21518987341772153,0.4857142857142857
0.51,0.6451204055766794,15.76,16.933333333333334,0.0,0.0,0.21504013519222645,0.4847619047619048
0.52,0.642085187539733,15.864761904761904,17.03142857142857,0.0,0.0,0.21402839584657765,0.48095238095238096
0.53,0.6424936386768448,15.864761904761904,17.03142857142857,0.0,0.0,0.21416454622561495,0.48095238095238096
0.54,0.6411727214786488,15.917142857142856,17.082857142857144,0.0,0.0,0.21372424049288294,0.47904761904761906
0.55,0.6411727214786488,15.917142857142856,17.082857142857144,0.0,0.0,0.21372424049288294,0.47904761904761906
0.56,0.6411727214786488,15.917142857142856,17.082857142857144,0.0,0.0,0.21372424049288294,0.47904761904761906
0.5700000000000001,0.6411727214786488,15.917142857142856,17.082857142857144,0.0,0.0,0.21372424049288294,0.47904761904761906
0.58,0.6415816326530612,15.917142857142856,17.082857142857144,0.0,0.0,0.21386054421768708,0.47904761904761906
0.59,0.6419910657306956,15.917142857142856,17.082857142857144,0.0,0.0,0.21399702191023187,0.47904761904761906
