thr,f1,mae_onset,mae_recov,skill_onset,skill_recov,composite,recall
0.24,0.5593844095015055,7.859047619047619,8.505714285714285,0.0,0.0,0.18646146983383516,0.7961904761904762
0.25,0.5673611111111111,8.304761904761905,9.006666666666666,0.0,0.0,0.18912037037037036,0.7780952380952381
0.26,0.5715315315315316,8.91047619047619,9.620952380952382,0.0,0.0,0.19051051051051052,0.7552380952380953
0.27,0.5755770662695457,9.348571428571429,10.128571428571428,0.0,0.0,0.1918590220898486,0.7361904761904762
0.28,0.5779497098646035,9.953333333333333,10.799047619047618,0.0,0.0,0.19264990328820117,0.7114285714285714
0.29,0.5865384615384616,10.331428571428571,11.197142857142858,0.0,0.0,0.1955128205128205,0.6971428571428572
0.3,0.5914429530201343,10.96,11.88,0.0,0.0,0.19714765100671142,0.6714285714285714
0.31,0.6111611161116112,11.61047619047619,12.543809523809523,0.0,0.0,0.20372037203720372,0.6466666666666666
0.32,0.6285150468672915,12.66095238095238,13.617142857142857,0.0,0.0,0.2095050156224305,0.6066666666666667
0.33,0.6329248801278636,13.684761904761904,14.732380952380952,0.0,0.0,0.2109749600426212,0.5657142857142857
0.34,0.6442577030812325,14.134285714285713,15.217142857142857,0.0,0.0,0.21475256769374418,0.5476190476190477
0.35000000000000003,0.6428159261396422,14.565714285714286,15.673333333333334,0.0,0.0,0.21427197537988074,0.5304761904761904
0.36,0.6453900709219859,14.843809523809524,15.962857142857143,0.0,0.0,0.21513002364066194,0.52
0.37,0.6423444976076556,15.056190476190476,16.196190476190477,0.0,0.0,0.21411483253588517,0.5114285714285715
0.38,0.6452784503631961,15.156190476190476,16.3,0.0,0.0,0.21509281678773204,0.5076190476190476
0.39,0.6466992665036675,15.266666666666667,16.406666666666666,0.0,0.0,0.21556642216788915,0.5038095238095238
0.4,0.6440468846391116,15.436190476190475,16.583809523809524,0.0,0.0,0.2146822948797039,0.49714285714285716
0.41000000000000003,0.6434782608695652,15.531428571428572,16.68857142857143,0.0,0.0,0.2144927536231884,0.49333333333333335
0.42,0.6437928883343731,15.587619047619048,16.744761904761905,0.0,0.0,0.21459762944479102,0.49142857142857144
0.43,0.6433041301627034,15.640952380952381,16.795238095238094,0.0,0.0,0.21443471005423445,0.4895238095238095
0.44,0.6424090338770388,15.687619047619048,16.846666666666668,0.0,0.0,0.21413634462567963,0.4876190476190476
0.45,0.6410094637223974,15.793333333333333,16.95047619047619,0.0,0.0,0.21366982124079914,0.4838095238095238
0.46,0.6410094637223974,15.793333333333333,16.95047619047619,0.0,0.0,0.21366982124079914,0.4838095238095238
0.47000000000000003,0.6414141414141414,15.793333333333333,16.95047619047619,0.0,0.0,0.2138047138047138,0.4838095238095238
0.48,0.6375158428390367,15.92,17.079047619047618,0.0,0.0,0.21250528094634558,0.47904761904761906
0.49,0.6317804722399489,16.134285714285713,17.27904761904762,0.0,0.0,0.21059349074664965,0.4714285714285714
0.5,0.6237942122186495,16.416190476190476,17.538095238095238,0.0,0.0,0.20793140407288316,0.46190476190476193
0.51,0.5563808237677245,18.465714285714284,19.404761904761905,0.0,0.0,0.1854602745892415,0.3923809523809524
0.52,0.5567567567567567,18.465714285714284,19.404761904761905,0.0,0.0,0.18558558558558558,0.3923809523809524
0.53,0.556910569105691,18.493333333333332,19.42952380952381,0.0,0.0,0.18563685636856367,0.3914285714285714
0.54,0.556910569105691,18.493333333333332,19.42952380952381,0.0,0.0,0.18563685636856367,0.3914285714285714
0.55,0.5572881355932203,18.493333333333332,19.42952380952381,0.0,0.0,0.18576271186440677,0.3914285714285714
0.56,0.5572881355932203,18.493333333333332,19.42952380952381,0.0,0.0,0.18576271186440677,0.3914285714285714
